Date ,Water meter Reading (m3),Daily Water consumption (m3),Water meter Reading Morning(m3),Water Consumption Night (m3),Boster pump discharge pressure Bar morning/evening,Remarks,Energy meter Readings MDB1 in KWH ADDC,MDB 01 DAILY CONSUMPTION in KWH,Energy meter Readings MDB2 in KWH ADDC,MDB 02 DAILY CONSUMPTION  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,HR & Finance Office SMDB 05  in KWH,HR & Finance office Consumption  in KWH,Canteen FDB 04  in KWH,Canteen Second DB in KWH,Canteen Consumption in KWH,Admin FDB 05 in KWH,Admin Ext. DB in KWH,Admin Consumption in KWH,"HR,CANTEEN & ADMIN DAILY TOTAL in KWH",FACTORY DAILY CONSUMPTION  in KWH,FACTORY DAILY CONSUMPTION  in KWH for Daily KPI Disply presentation reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jan-24,79383.14,0,,,4.0/4.0,,1874518,0,1886172,0,0,0,189163,0,136337,169037,0,302052,389399,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jan-24,79751.11,367.97,,,4.0/4.0,,1879676,5158,1889594,3422,8580,8580,189361,198,136491,169295,412,302477,389890,916,1526,7054,7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Jan-24,79871.61,120.5,,,4.0/4.0,,1882683,3007,1891194,1600,4607,4607,189485,124,136590,169398,202,302622,390063,318,644,3963,3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Jan-24,79980.98,109.37,,,4.0/4.0,,1885675,2992,1892839,1645,4637,4637,189589,104,136682,169494,188,302770,390214,299,591,4046,4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jan-24,80026.32,45.34,,,4.0/4.0,,1888291,2616,1893777,938,3554,3554,189730,141,136701,169594,119,302909,390364,289,549,3005,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jan-24,80026.32,0,,,4.0/4.0,,1888291,0,1893777,0,0,0,189730,0,136701,169594,0,302909,390364,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jan-24,80026.32,0,,,4.0/4.0,,1888291,0,1893777,0,0,0,189730,0,136701,169594,0,302909,390364,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jan-24,80253.21,226.89,,,4.0/4.0,,1893039,4748,1896288,2511,7259,7259,189864,134,136965,169812,482,303226,390772,725,1341,5918,5918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jan-24,80332.52,79.31,,,4.0/4.0,,1895800,2761,1897393,1105,3866,3866,189959,95,137020,169891,134,303331,390860,193,422,3444,3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-24,80433.42,100.9,,,4.0/4.0,,1898641,2841,1899029,1636,4477,4477,190072,113,137096,169991,176,303470,391270,549,838,3639,3639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan-24,80533.46,100.04,,,4.0/4.0,,1901859,3218,1900469,1440,4658,4658,190105,33,137115,170021,49,303510,391110,-120,-38,4696,4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jan-24,80610.43,76.97,,,4.0/4.0,,1904724,2865,1901406,937,3802,3802,190252,147,137205,170171,240,303720,391291,391,778,3024,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jan-24,80610.43,0,,,4.0/4.0,,1904724,0,1901406,0,0,0,190252,0,137205,170171,0,303720,391291,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jan-24,80610.43,0,,,4.0/4.0,,1904724,0,1901406,0,0,0,190252,0,137205,170171,0,303720,391291,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jan-24,80651.37,40.94,,,4.0/4.0,,1910497,5773,1904214,2808,8581,8581,190437,185,137356,170434,414,304052,391762,803,1402,7179,7179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-24,80972.91,321.54,,,4.0/4.0,,1913442,2945,1905902,1688,4633,4633,190537,100,137452,170545,207,304207,391918,311,618,4015,4015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan-24,81056.74,83.83,,,4.0/4.0,,1915892,2450,1907204,1302,3752,3752,190625,88,137521,170624,148,304325,392112,312,548,3204,3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jan-24,81198.04,141.3,,,4.0/4.0,,1919700,3808,1909337,2133,5941,5941,190751,126,137601,170740,196,304494,392186,243,565,5376,5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jan-24,81266.24,68.2,,,4.0/4.0,,1921769,2069,1910442,1105,3174,3174,190801,50,137668,170805,132,304579,392234,133,315,2859,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jan-24,81266.24,0,,,4.0/4.0,,1921769,0,1910442,0,0,0,190801,0,137668,170805,0,304579,392234,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-24,81266.24,0,,,4.0/4.0,,1921769,0,1910442,0,0,0,190801,0,137668,170805,0,304579,392234,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
