Site,Year,Week,Org Code,Org Name,Mch Code,Criticality,Priority Id,Object Description,Wo No,Actual Reg Date,Actual Start Date,Actual Finish Date,Reaction Hours,Repair Hours,Downtime Hours,Err Cause,Err Cause Descr,Err Type,Err Type Descr,Performed Action Id,Performed Action Descr,Err Class,Err Class Descr,Work Type Category,Work Type Id,Work Type Descr,Wo Status Id
AEAD,2023,202252,MAINT,Maintenance,002-0000-00,3,2,ADMIN. BUILDING [LOCATION],388207,26-12-22 12:08,01-01-23 08:00,01-01-23 08:00,139.9,,0,C28,Ageing,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202252,MAINT,Maintenance,003-0000-00,3,2,FINISHED GOODS STORE [ LOCATION],388620,01-12-22 08:00,01-12-22 08:00,01-01-23 08:00,0,3,744,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0243-00,2,2,AIR HOIST 2TON near Lifter,790542,01-04-22 07:57,02-01-23 07:00,02-01-23 07:30,6623.1,0.5,0.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,EXTERNAL,External Contractors,003-0404-00,2,2,DIESEL FORKLIFT 45813,388841,29-12-22 09:28,02-01-23 08:00,02-01-23 08:00,94.5,,0,C28,Ageing,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0100-00,2,1,WRAPPING MACHINE,389305,02-01-23 08:00,02-01-23 08:00,02-01-23 08:00,0,1.5,0,C28,Ageing,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],384703,08-12-22 06:04,02-01-23 08:00,02-01-23 08:00,601.9,9,0,C11,Modifications,T1,Maintenance,P4,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0000-00,3,2,FACTORY [ LOCATION ],383217,30-11-22 13:57,02-01-23 08:00,02-01-23 08:00,786,,0,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,008-0409-00,2,1,DALMEC MANIPULATOR,790545,01-04-22 07:57,02-01-23 08:00,02-01-23 08:30,6624.1,0.5,0.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0554-00,1,2,WISPERSOR 10 KL,344561,06-06-22 06:51,02-01-23 08:00,02-01-23 09:00,5041.1,2,1,C11,Modifications,T1,Maintenance,P7,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0226-00,2,2,STATIONARY MIXER,790614,01-04-22 07:57,02-01-23 08:00,02-01-23 09:00,6624,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,004-0116-00,2,2,DIAPHRAGM PUMP,790557,01-04-22 07:57,02-01-23 08:00,02-01-23 09:00,6624,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,025-0100-00,1,2,"CHILLER, PROCESS",790548,01-04-22 07:57,02-01-23 08:00,02-01-23 09:00,6624,1,1,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,016-0101-00,2,2,PUMP[GEAR] 2540,790543,01-04-22 07:57,02-01-23 09:00,02-01-23 09:30,6625.1,1,0.5,C12,Timebased Maintenance,T1,Maintenance,P3,,CL7,Maintenance,Preventive Maintenancee,MNT,Maintenance,FINISHED
AEAD,2023,202301,MAINT,Maintenance,003-0413-00,2,2,DIESEL FORKLIFT 45680,385433,12-12-22 11:35,02-01-23 08:00,02-01-23 10:00,500.4,,2,C23,Condition based maintenanced,T1,Maintenance,P6,,CL7,Maintenance,Operations Support,MNT,Maintenance,FINISHED
